snd/rcv         time       type       sequence        payload size    ack            
--------------------------------------------------------------------------
rcv             0.0        S          0               0               0              
snd             0.0        SA         0               0               1              
rcv             0.0        A          1               0               1              
rcv             0.0        D          0               5000            0              
snd             0.0        A          1               0               0              
rcv             0.0        D          5000            5000            0              
snd             0.0        A          1               0               5000           
rcv             0.0        D          10000           5000            0              
snd             0.0        A          1               0               10000          
snd/DA          0.0        A          1               0               10000          
rcv/corr        0.0        D          20000           5000            0              
snd             0.0        A          1               0               10000          
rcv             0.0        D          25000           5000            0              
snd             0.0        A          1               0               10000          
snd/DA          0.0        A          1               0               10000          
rcv/corr        0.0        D          30000           5000            0              
snd             0.0        A          1               0               25000          
rcv/corr        0.0        D          15000           5000            0              
snd             0.0        A          1               0               25000          
rcv             1.0        D          15000           5000            0              
snd             1.0        A          1               0               25000          
snd/DA          1.0        A          1               0               25000          
snd/DA          1.0        A          1               0               25000          
snd/DA          1.0        A          1               0               25000          
rcv             1.0        D          20000           5000            0              
snd             1.0        A          1               0               25000          
snd/DA          2.0        A          1               0               25000          
snd/DA          2.0        A          1               0               25000          
rcv             2.0        D          35000           5000            0              
snd             2.0        A          1               0               25000          
rcv             5.0        D          30000           5000            0              
snd             5.0        A          1               0               35000          
snd/DA          10.0       A          1               0               35000          
rcv             10.0       D          50000           5000            0              
snd             10.0       A          1               0               35000          
rcv             10.0       D          40000           5000            0              
snd             10.0       A          1               0               50000          
rcv             10.0       D          55000           5000            0              
snd             10.0       A          1               0               55000          
rcv/corr        10.0       D          60000           5000            0              
snd             10.0       A          1               0               55000          
rcv             10.0       D          65000           5000            0              
snd             10.0       A          1               0               55000          
snd/DA          10.0       A          1               0               55000          
rcv             10.0       D          70000           5000            0              
snd             10.0       A          1               0               70000          
rcv/corr        10.0       D          75000           5000            0              
snd             10.0       A          1               0               70000          
snd/DA          10.0       A          1               0               70000          
snd/DA          10.0       A          1               0               70000          
rcv             10.0       D          80000           5000            0              
snd             10.0       A          1               0               70000          
rcv/corr        11.0       D          45000           5000            0              
snd             11.0       A          1               0               80000          
snd/DA          11.0       A          1               0               80000          
snd/DA          11.0       A          1               0               80000          
rcv/corr        11.0       D          85000           5000            0              
snd             11.0       A          1               0               80000          
rcv             13.0       D          45000           5000            0              
snd             13.0       A          1               0               80000          
snd/DA          15.0       A          1               0               80000          
snd/DA          15.0       A          1               0               80000          
snd/DA          15.0       A          1               0               80000          
rcv             16.0       D          60000           5000            0              
snd             16.0       A          1               0               80000          
snd/DA          18.0       A          1               0               80000          
snd/DA          18.0       A          1               0               80000          
snd/DA          18.0       A          1               0               80000          
rcv             18.0       D          85000           5000            0              
snd             18.0       A          1               0               85000          
rcv             18.0       D          90000           5000            0              
snd             18.0       A          1               0               90000          
rcv             18.0       D          95000           5000            0              
snd             18.0       A          1               0               95000          
snd/DA          18.0       A          1               0               95000          
snd/DA          18.0       A          1               0               95000          
rcv             18.0       D          105000          5000            0              
snd             18.0       A          1               0               95000          
rcv             19.0       D          75000           5000            0              
snd             19.0       A          1               0               105000         
snd/DA          19.0       A          1               0               105000         
rcv             19.0       D          110000          5000            0              
snd             19.0       A          1               0               110000         
rcv/corr        19.0       D          125000          5000            0              
snd             19.0       A          1               0               110000         
rcv             19.0       D          100000          5000            0              
snd             19.0       A          1               0               110000         
snd/DA          19.0       A          1               0               110000         
rcv             19.0       D          130000          5000            0              
snd             19.0       A          1               0               110000         
snd/DA          19.0       A          1               0               110000         
rcv             19.0       D          120000          5000            0              
snd             19.0       A          1               0               130000         
rcv             19.0       D          135000          5000            0              
snd             19.0       A          1               0               135000         
rcv             20.0       D          115000          5000            0              
snd             20.0       A          1               0               135000         
snd/DA          20.0       A          1               0               135000         
snd/DA          20.0       A          1               0               135000         
snd/DA          20.0       A          1               0               135000         
snd/DA          20.0       A          1               0               135000         
rcv             20.0       D          140000          5000            0              
snd             20.0       A          1               0               140000         
rcv             20.0       D          150000          5000            0              
snd             20.0       A          1               0               140000         
rcv             20.0       D          155000          5000            0              
snd             20.0       A          1               0               155000         
rcv             20.0       D          160000          5000            0              
snd             20.0       A          1               0               160000         
rcv             20.0       D          165000          5000            0              
snd             20.0       A          1               0               165000         
rcv             20.0       D          125000          5000            0              
snd             20.0       A          1               0               165000         
snd/DA          20.0       A          1               0               165000         
rcv             20.0       D          170000          5000            0              
snd             20.0       A          1               0               170000         
rcv/corr        20.0       D          175000          5000            0              
snd             20.0       A          1               0               170000         
rcv/corr        20.0       D          180000          5000            0              
snd             20.0       A          1               0               170000         
rcv             20.0       D          145000          5000            0              
snd             20.0       A          1               0               170000         
snd/DA          21.0       A          1               0               170000         
rcv             21.0       D          185000          5000            0              
snd             21.0       A          1               0               170000         
snd/DA          21.0       A          1               0               170000         
snd/DA          21.0       A          1               0               170000         
rcv             23.0       D          175000          5000            0              
snd             23.0       A          1               0               185000         
snd/DA          23.0       A          1               0               185000         
snd/DA          23.0       A          1               0               185000         
snd/DA          23.0       A          1               0               185000         
rcv             23.0       D          200000          5000            0              
snd             23.0       A          1               0               185000         
rcv             28.0       D          180000          5000            0              
snd             28.0       A          1               0               200000         
rcv             28.0       D          190000          5000            0              
snd             28.0       A          1               0               200000         
rcv             28.0       D          205000          5000            0              
snd             28.0       A          1               0               205000         
rcv             28.0       D          210000          5000            0              
snd             28.0       A          1               0               210000         
rcv             28.0       D          215000          5000            0              
snd             28.0       A          1               0               215000         
snd/DA          30.0       A          1               0               215000         
rcv             30.0       D          225000          5000            0              
snd             30.0       A          1               0               215000         
snd/DA          30.0       A          1               0               215000         
snd/DA          31.0       A          1               0               215000         
rcv             31.0       D          235000          5000            0              
snd             31.0       A          1               0               225000         
rcv/corr        33.0       D          195000          5000            0              
snd             33.0       A          1               0               235000         
rcv/corr        37.0       D          195000          5000            0              
snd             37.0       A          1               0               235000         
snd/DA          37.0       A          1               0               235000         
rcv             43.0       D          195000          5000            0              
snd             43.0       A          1               0               235000         
snd/DA          50.0       A          1               0               235000         
snd/DA          50.0       A          1               0               235000         
rcv             50.0       D          245000          5000            0              
snd             50.0       A          1               0               235000         
rcv             64.0       D          220000          5000            0              
snd             64.0       A          1               0               245000         
snd/DA          64.0       A          1               0               245000         
snd/DA          64.0       A          1               0               245000         
rcv             64.0       D          250000          5000            0              
snd             64.0       A          1               0               250000         
rcv/corr        77.0       D          230000          5000            0              
snd             77.0       A          1               0               250000         
rcv             81.0       D          230000          5000            0              
snd             81.0       A          1               0               250000         
snd/DA          81.0       A          1               0               250000         
rcv             120.0      D          240000          5000            0              
snd             120.0      A          1               0               250000         
snd/DA          120.0      A          1               0               250000         
rcv             164.0      D          255000          5000            0              
snd             164.0      A          1               0               255000         
snd/DA          164.0      A          1               0               255000         
snd/DA          164.0      A          1               0               255000         
rcv             275.0      D          260000          5000            0              
snd             275.0      A          1               0               260000         
snd/DA          275.0      A          1               0               260000         
rcv/corr        335.0      D          265000          5000            0              
snd             335.0      A          1               0               260000         
rcv             396.0      D          265000          5000            0              
snd             396.0      A          1               0               265000         
rcv             456.0      D          270000          5000            0              
snd             456.0      A          1               0               270000         
rcv             516.0      D          275000          5000            0              
snd             516.0      A          1               0               275000         
rcv             516.0      D          295000          5000            0              
snd             516.0      A          1               0               275000         
snd/DA          516.0      A          1               0               275000         
rcv             516.0      D          300000          5000            0              
snd             516.0      A          1               0               300000         
rcv             516.0      D          303203          3203            0              
snd             516.0      A          1               0               305000         
rcv             525.0      D          278203          5000            0              
snd             525.0      A          1               0               305000         
snd/DA          545.0      A          1               0               305000         
rcv             581.0      D          283203          5000            0              
snd             581.0      A          1               0               305000         
snd/DA          617.0      A          1               0               305000         
snd/DA          617.0      A          1               0               305000         
rcv             737.0      D          288203          5000            0              
snd             737.0      A          1               0               305000         
snd/DA          857.0      A          1               0               305000         
snd/DA          857.0      A          1               0               305000         
rcv             858.0      F          308203          0               1              
snd             858.0      A          1               0               308204         
snd             858.0      F          1               0               308204         
rcv             858.0      A          308204          0               2              
--------------------------------------------------------------------------
Amount of data received (bytes)                    648203              
Total Segments Received                            135                 
Data segments received                             131                 
Data segments with Bit Errors                      18                  
Duplicate data segments received                   54                  
Duplicate ACKs sent                                39                  
--------------------------------------------------------------------------
