snd/rcv         time       type       sequence        payload size    ack             Timeout         window size    
------------------------------------------------------------------------------------------------------------------
snd             0.0        S          0               0               0               1500            0              
snd             1.0        S          0               0               0               1500            0              
snd             3.0        S          0               0               0               1500            0              
snd             4.0        S          0               0               0               1500            0              
rcv             4.0        SA         0               0               1               1500            0              
snd             4.0        A          1               0               1               1500            0              
snd             4.0        D          0               5000            0               1623            1              
snd             4.0        D          5000            5000            0               1623            2              
snd/dup         4.0        D          10000           5000            0               1623            3              
snd             4.0        D          10000           5000            0               1619            3              
drop            4.0        D          15000           5000            0               1623            4              
rcv/DA          4.0        A          1               0               0               5               3              
snd/corr        4.0        D          20000           5000            0               567             4              
snd             4.0        D          20000           5000            1               567             4              
rcv             4.0        A          1               0               5000            3               3              
snd/dup         4.0        D          25000           5000            0               422             4              
snd             4.0        D          25000           5000            1               422             4              
rcv             4.0        A          1               0               10000           1               3              
snd             4.0        D          30000           5000            1               312             4              
rcv             4.0        A          1               0               25000           3               3              
snd/corr        4.0        D          15000           5000            0               234             4              
snd             4.0        D          15000           5000            1               234             4              
rcv/DA          4.0        A          1               0               30000           0               3              
snd/dely        4.0        D          20000           5000            0               172             4              
snd/corr        4.0        D          15000           5000            0               404             4              
snd             4.0        D          15000           5000            1               404             4              
tout/RXT        4.0        D          15000           5000            0               404             4              
snd/dup         5.0        D          15000           5000            0               640             4              
snd             5.0        D          15000           5000            1               640             4              
tout/RXT        5.0        D          15000           5000            0               640             4              
rcv             5.0        A          1               0               15000           356             3              
rcv             5.0        A          1               0               15000           357             2              
snd             5.0        D          20000           5000            1               1135            2              
snd             5.0        D          5000            5000            1               871             3              
snd/dely        5.0        D          10000           5000            0               871             4              
rcv             5.0        A          1               0               5000            1               3              
drop            5.0        D          20000           5000            0               432             3              
tout/RXT        5.0        D          20000           5000            0               432             3              
snd             6.0        D          20000           5000            1               684             3              
tout/RXT        6.0        D          20000           5000            0               684             3              
rcv             6.0        A          1               0               20000           378             2              
rcv             6.0        A          1               0               20000           378             1              
rcv             6.0        A          1               0               10000           615             0              
snd             6.0        D          10000           5000            1               839             0              
drop            6.0        D          15000           5000            0               1421            1              
snd             6.0        D          20000           5000            1               1421            2              
snd/rord        6.0        D          25000           5000            0               1421            3              
drop            6.0        D          30000           5000            0               1421            4              
rcv             6.0        A          1               0               20000           1               3              
drop            6.0        D          35000           5000            0               260             4              
snd             6.0        D          15000           5000            1               608             4              
tout/RXT        6.0        D          15000           5000            0               608             4              
rcv             6.0        A          1               0               15000           264             3              
drop            6.0        D          40000           5000            0               722             4              
rcv             6.0        A          1               0               25000           0               3              
snd/dely        6.0        D          45000           5000            0               192             4              
snd/rord        7.0        D          30000           5000            0               452             4              
tout/RXT        7.0        D          30000           5000            0               452             4              
snd             7.0        D          30000           5000            1               712             4              
tout/RXT        7.0        D          30000           5000            0               712             4              
rcv             7.0        A          1               0               30000           391             3              
snd             7.0        D          45000           5000            1               1089            3              
snd             7.0        D          50000           5000            1               921             4              
rcv             7.0        A          1               0               50000           6               3              
drop            7.0        D          55000           5000            0               188             4              
snd             8.0        D          35000           5000            1               424             4              
tout/RXT        8.0        D          35000           5000            0               424             4              
snd/corr        8.0        D          35000           5000            0               672             4              
snd             8.0        D          35000           5000            1               672             4              
tout/RXT        8.0        D          35000           5000            0               672             4              
snd/dup         8.0        D          35000           5000            0               672             4              
snd             8.0        D          35000           5000            1               672             4              
snd/RXT         8.0        D          35000           5000            0               672             4              
rcv             8.0        A          1               0               35000           374             3              
snd             8.0        D          60000           5000            1               880             4              
snd/corr        8.0        D          40000           5000            0               816             4              
snd             8.0        D          40000           5000            1               816             4              
tout/RXT        8.0        D          40000           5000            0               816             4              
snd/dup         8.0        D          60000           5000            0               820             4              
snd             8.0        D          60000           5000            1               820             4              
snd/RXT         8.0        D          60000           5000            0               820             4              
rcv             8.0        A          1               0               60000           515             3              
snd/corr        8.0        D          65000           5000            0               1198            4              
snd             8.0        D          65000           5000            1               1198            4              
snd/rord        9.0        D          40000           5000            0               1086            4              
tout/RXT        9.0        D          40000           5000            0               1086            4              
snd             10.0       D          40000           5000            1               2002            4              
tout/RXT        10.0       D          40000           5000            0               2002            4              
snd/dup         11.0       D          40000           5000            0               2918            4              
snd             11.0       D          40000           5000            1               2918            4              
tout/RXT        11.0       D          40000           5000            0               2918            4              
rcv             11.0       A          1               0               40000           2063            3              
snd             11.0       D          50000           5000            1               4347            4              
rcv             11.0       A          1               0               50000           0               3              
drop            11.0       D          55000           5000            0               552             4              
drop            12.0       D          45000           5000            0               1292            4              
tout/RXT        12.0       D          45000           5000            0               1292            4              
snd             13.0       D          45000           5000            1               2032            4              
tout/RXT        13.0       D          45000           5000            0               2032            4              
rcv             13.0       A          1               0               45000           1111            3              
drop            13.0       D          60000           5000            0               2629            4              
snd/dup         15.0       D          55000           5000            0               2441            4              
snd             15.0       D          55000           5000            1               2441            4              
tout/RXT        15.0       D          55000           5000            0               2441            4              
rcv             15.0       A          1               0               60000           1525            3              
snd             15.0       D          65000           5000            1               3563            4              
rcv             15.0       A          1               0               55000           0               3              
rcv             15.0       A          1               0               55000           0               2              
snd             15.0       D          70000           5000            1               504             3              
snd             15.0       D          75000           5000            1               504             4              
rcv             15.0       A          1               0               65000           0               3              
rcv             15.0       A          1               0               65000           0               2              
snd/dup         15.0       D          80000           5000            0               280             3              
snd             15.0       D          80000           5000            1               280             3              
drop            15.0       D          85000           5000            0               280             4              
rcv             15.0       A          1               0               70000           0               3              
snd             15.0       D          90000           5000            1               208             4              
rcv             15.0       A          1               0               75000           1               3              
snd/dup         15.0       D          95000           5000            0               156             4              
snd             15.0       D          95000           5000            1               156             4              
rcv             15.0       A          1               0               80000           1               3              
snd             15.0       D          100000          5000            1               116             4              
rcv             15.0       A          1               0               95000           3               3              
drop            15.0       D          85000           5000            0               86              4              
rcv             15.0       A          1               0               100000          2               3              
snd/rord        15.0       D          90000           5000            0               61              4              
snd/corr        15.0       D          85000           5000            0               145             4              
snd             15.0       D          85000           5000            1               145             4              
tout/RXT        15.0       D          85000           5000            0               145             4              
drop            15.0       D          85000           5000            0               233             4              
tout/RXT        15.0       D          85000           5000            0               233             4              
snd/dely        15.0       D          85000           5000            0               317             4              
snd             15.0       D          85000           5000            1               325             4              
tout/RXT        15.0       D          85000           5000            0               325             4              
snd             15.0       D          85000           5000            1               413             4              
tout/RXT        15.0       D          85000           5000            0               413             4              
rcv             15.0       A          1               0               85000           267             3              
snd/dup         15.0       D          95000           5000            0               572             4              
rcv             15.0       A          1               0               85000           0               3              
snd             15.0       D          95000           5000            1               80              3              
snd/dely        15.0       D          100000          5000            0               80              4              
rcv             15.0       A          1               0               95000           0               3              
snd/dely        15.0       D          90000           5000            0               140             3              
snd             15.0       D          100000          5000            1               172             3              
snd/dup         15.0       D          105000          5000            0               60              4              
snd             15.0       D          105000          5000            1               60              4              
snd             16.0       D          90000           5000            1               668             4              
tout/RXT        16.0       D          90000           5000            0               668             4              
rcv             16.0       A          1               0               100000          459             3              
snd/corr        16.0       D          110000          5000            0               956             4              
rcv             16.0       A          1               0               90000           0               3              
rcv             16.0       A          1               0               90000           0               2              
snd             16.0       D          110000          5000            1               84              2              
snd/dup         16.0       D          115000          5000            0               84              3              
snd             16.0       D          115000          5000            1               84              3              
drop            16.0       D          120000          5000            0               84              4              
rcv             16.0       A          1               0               105000          0               3              
snd             16.0       D          125000          5000            1               60              4              
rcv             16.0       A          1               0               115000          3               3              
snd             16.0       D          130000          5000            1               46              4              
rcv             16.0       A          1               0               130000          2               3              
snd/dely        16.0       D          135000          5000            0               33              4              
snd             16.0       D          135000          5000            1               37              4              
rcv             16.0       A          1               0               135000          6               3              
snd             16.0       D          140000          5000            1               32              4              
rcv             16.0       A          1               0               140000          0               3              
snd/dely        16.0       D          145000          5000            0               16              4              
snd/dup         16.0       D          110000          5000            0               40              4              
snd             16.0       D          110000          5000            1               40              4              
tout/RXT        16.0       D          110000          5000            0               40              4              
rcv             16.0       A          1               0               110000          20              3              
snd/corr        16.0       D          120000          5000            0               75              3              
snd             16.0       D          120000          5000            1               75              3              
tout/RXT        16.0       D          120000          5000            0               75              3              
snd/corr        16.0       D          120000          5000            0               119             3              
snd             16.0       D          120000          5000            1               119             3              
tout/RXT        16.0       D          120000          5000            0               119             3              
snd             16.0       D          120000          5000            1               163             3              
tout/RXT        16.0       D          120000          5000            0               163             3              
drop            16.0       D          120000          5000            0               203             3              
tout/RXT        16.0       D          120000          5000            0               203             3              
snd             16.0       D          145000          5000            1               243             3              
snd/dely        16.0       D          150000          5000            0               47              4              
rcv             16.0       A          1               0               145000          1               3              
snd/dup         16.0       D          120000          5000            0               20              3              
snd             16.0       D          120000          5000            1               20              3              
tout/RXT        16.0       D          120000          5000            0               20              3              
rcv             16.0       A          1               0               120000          13              2              
snd/rord        16.0       D          125000          5000            0               45              2              
tout/RXT        16.0       D          125000          5000            0               45              2              
snd/dely        16.0       D          125000          5000            0               73              2              
snd             16.0       D          150000          5000            1               257             2              
drop            16.0       D          155000          5000            0               29              3              
drop            16.0       D          160000          5000            0               29              4              
snd             16.0       D          125000          5000            1               57              4              
tout/RXT        16.0       D          125000          5000            0               57              4              
rcv             16.0       A          1               0               150000          40              3              
snd/rord        16.0       D          165000          5000            0               82              4              
rcv             16.0       A          1               0               125000          0               3              
drop            16.0       D          170000          5000            0               8               4              
snd/dup         16.0       D          155000          5000            0               20              4              
snd             16.0       D          155000          5000            1               20              4              
tout/RXT        16.0       D          155000          5000            0               20              4              
rcv             16.0       A          1               0               155000          11              3              
snd/dely        16.0       D          175000          5000            0               24              4              
snd             16.0       D          160000          5000            1               28              4              
tout/RXT        16.0       D          160000          5000            0               28              4              
rcv             16.0       A          1               0               160000          18              3              
snd             16.0       D          165000          5000            1               57              3              
tout/RXT        16.0       D          165000          5000            0               57              3              
