snd/rcv         time       type       sequence        payload size    ack             Timeout         window size    
------------------------------------------------------------------------------------------------------------------
snd             0.0        S          0               0               0               1500            0              
rcv             0.0        SA         0               0               1               1500            0              
snd             0.0        A          1               0               1               1500            0              
snd             0.0        D          0               5000            0               1623            1              
snd             0.0        D          5000            5000            0               1623            2              
snd/dup         0.0        D          10000           5000            0               1623            3              
snd             0.0        D          10000           5000            0               1619            3              
drop            0.0        D          15000           5000            0               1623            4              
rcv/DA          0.0        A          1               0               0               5               3              
rcv             0.0        A          1               0               5000            7               2              
snd/corr        0.0        D          20000           5000            0               757             3              
rcv             0.0        A          1               0               10000           2               2              
snd             0.0        D          20000           5000            1               749             2              
snd/dup         0.0        D          25000           5000            0               749             3              
snd             0.0        D          25000           5000            1               749             3              
snd             0.0        D          30000           5000            1               749             4              
rcv             0.0        A          1               0               25000           7               3              
snd/corr        0.0        D          15000           5000            0               757             4              
snd             0.0        D          15000           5000            1               757             4              
rcv/DA          0.0        A          1               0               30000           5               3              
snd/dely        0.0        D          20000           5000            0               755             4              
snd/corr        0.0        D          15000           5000            0               847             4              
snd             0.0        D          15000           5000            1               847             4              
tout/RXT        0.0        D          15000           5000            0               847             4              
snd/dup         0.0        D          15000           5000            0               951             4              
snd             0.0        D          15000           5000            1               951             4              
tout/RXT        0.0        D          15000           5000            0               951             4              
rcv             0.0        A          1               0               15000           209             3              
rcv             0.0        A          1               0               15000           210             2              
snd             0.0        D          20000           5000            1               1005            2              
tout/RXT        0.0        D          20000           5000            0               1005            2              
snd/dely        0.0        D          20000           5000            0               1105            2              
snd             1.0        D          20000           5000            1               1673            2              
drop            1.0        D          5000            5000            0               1113            3              
snd             1.0        D          10000           5000            1               1113            4              
snd             1.0        D          20000           5000            1               941             4              
tout/RXT        1.0        D          20000           5000            0               941             4              
rcv             1.0        A          1               0               20000           250             3              
rcv             1.0        A          1               0               20000           250             2              
drop            1.0        D          15000           5000            0               1183            3              
snd             1.0        D          20000           5000            1               1183            4              
rcv             1.0        A          1               0               10000           0               3              
snd/rord        1.0        D          25000           5000            0               748             4              
rcv             1.0        A          1               0               20000           1               3              
drop            1.0        D          30000           5000            0               748             4              
drop            1.0        D          5000            5000            0               848             4              
tout/RXT        1.0        D          5000            5000            0               848             4              
snd             1.0        D          5000            5000            1               948             4              
tout/RXT        1.0        D          5000            5000            0               948             4              
rcv             1.0        A          1               0               5000            205             3              
drop            1.0        D          35000           5000            0               1105            4              
snd/dely        1.0        D          15000           5000            0               1005            4              
snd             2.0        D          15000           5000            1               1741            4              
tout/RXT        2.0        D          15000           5000            0               1741            4              
rcv             2.0        A          1               0               15000           1049            3              
snd/rord        2.0        D          40000           5000            0               2582            4              
rcv             2.0        A          1               0               25000           1               3              
snd             2.0        D          45000           5000            1               748             4              
rcv             2.0        A          1               0               30000           3               3              
snd             2.0        D          50000           5000            1               750             4              
rcv             2.0        A          1               0               50000           2               3              
drop            2.0        D          55000           5000            0               749             4              
snd             2.0        D          35000           5000            1               849             4              
tout/RXT        2.0        D          35000           5000            0               849             4              
snd/corr        2.0        D          35000           5000            0               949             4              
snd             2.0        D          35000           5000            1               953             4              
tout/RXT        2.0        D          35000           5000            0               953             4              
snd/dup         2.0        D          35000           5000            0               957             4              
snd             2.0        D          35000           5000            1               957             4              
snd/RXT         2.0        D          35000           5000            0               957             4              
rcv             2.0        A          1               0               35000           214             3              
snd             2.0        D          40000           5000            1               1120            4              
rcv             2.0        A          1               0               40000           2               3              
snd/corr        2.0        D          45000           5000            0               749             4              
rcv             2.0        A          1               0               40000           0               3              
snd             2.0        D          45000           5000            1               748             3              
snd/dup         2.0        D          50000           5000            0               748             4              
snd             2.0        D          50000           5000            1               748             4              
snd/corr        2.0        D          45000           5000            0               748             4              
snd             2.0        D          45000           5000            1               748             4              
snd/RXT         2.0        D          45000           5000            0               748             4              
rcv             2.0        A          1               0               50000           3               3              
snd/rord        2.0        D          55000           5000            0               750             4              
snd             2.0        D          45000           5000            1               750             4              
snd/RXT         2.0        D          45000           5000            0               750             4              
rcv             2.0        A          1               0               45000           3               3              
snd/dup         2.0        D          60000           5000            0               750             4              
rcv             2.0        A          1               0               45000           0               3              
snd             2.0        D          60000           5000            1               748             3              
snd             2.0        D          65000           5000            1               748             4              
rcv             2.0        A          1               0               60000           3               3              
drop            2.0        D          70000           5000            0               750             4              
rcv             2.0        A          1               0               65000           1               3              
drop            2.0        D          75000           5000            0               748             4              
snd             2.0        D          55000           5000            1               848             4              
tout/RXT        2.0        D          55000           5000            0               848             4              
rcv             2.0        A          1               0               55000           103             3              
rcv             2.0        A          1               0               55000           103             2              
drop            2.0        D          80000           5000            0               925             3              
snd/dup         2.0        D          85000           5000            0               925             4              
snd             2.0        D          85000           5000            1               925             4              
rcv             2.0        A          1               0               85000           2               3              
snd/rord        2.0        D          90000           5000            0               749             4              
snd             3.0        D          70000           5000            1               845             4              
tout/RXT        3.0        D          70000           5000            0               845             4              
snd             3.0        D          70000           5000            1               949             4              
tout/RXT        3.0        D          70000           5000            0               949             4              
rcv             3.0        A          1               0               70000           204             3              
snd/corr        3.0        D          95000           5000            0               1105            4              
snd             3.0        D          95000           5000            1               1105            4              
drop            3.0        D          75000           5000            0               1001            4              
tout/RXT        3.0        D          75000           5000            0               1001            4              
snd             3.0        D          75000           5000            1               901             4              
tout/RXT        3.0        D          75000           5000            0               901             4              
snd/dup         3.0        D          75000           5000            0               1001            4              
snd             3.0        D          75000           5000            1               1001            4              
tout/RXT        3.0        D          75000           5000            0               1001            4              
rcv             3.0        A          1               0               75000           307             3              
snd             3.0        D          100000          5000            1               1282            4              
drop            3.0        D          80000           5000            0               1182            4              
tout/RXT        3.0        D          80000           5000            0               1182            4              
snd             3.0        D          80000           5000            1               1082            4              
tout/RXT        3.0        D          80000           5000            0               1082            4              
rcv             3.0        A          1               0               100000          205             3              
snd/dup         3.0        D          105000          5000            0               1105            4              
snd             3.0        D          105000          5000            1               1105            4              
rcv             3.0        A          1               0               105000          3               3              
drop            3.0        D          110000          5000            0               750             4              
snd/rord        3.0        D          80000           5000            0               846             4              
tout/RXT        3.0        D          80000           5000            0               846             4              
drop            3.0        D          80000           5000            0               946             4              
tout/RXT        3.0        D          80000           5000            0               946             4              
snd             4.0        D          80000           5000            1               1050            4              
tout/RXT        4.0        D          80000           5000            0               1050            4              
rcv             4.0        A          1               0               80000           304             3              
snd/dup         4.0        D          115000          5000            0               1280            4              
snd             4.0        D          115000          5000            1               1280            4              
rcv             4.0        A          1               0               115000          2               3              
drop            4.0        D          120000          5000            0               749             4              
snd             4.0        D          90000           5000            1               849             4              
tout/RXT        4.0        D          90000           5000            0               849             4              
rcv             4.0        A          1               0               90000           103             3              
snd/dely        4.0        D          125000          5000            0               925             4              
snd/dup         4.0        D          95000           5000            0               825             4              
snd             4.0        D          95000           5000            1               825             4              
tout/RXT        4.0        D          95000           5000            0               825             4              
rcv             4.0        A          1               0               95000           105             3              
snd/corr        4.0        D          110000          5000            0               926             3              
snd             4.0        D          110000          5000            1               926             3              
tout/RXT        4.0        D          110000          5000            0               926             3              
snd/dup         4.0        D          110000          5000            0               1030            3              
snd             4.0        D          110000          5000            1               1030            3              
tout/RXT        4.0        D          110000          5000            0               1030            3              
rcv             4.0        A          1               0               110000          312             2              
drop            4.0        D          120000          5000            0               1082            2              
tout/RXT        4.0        D          120000          5000            0               1082            2              
snd             4.0        D          120000          5000            1               1182            2              
tout/RXT        4.0        D          120000          5000            0               1182            2              
rcv             4.0        A          1               0               120000          517             1              
snd             4.0        D          125000          5000            1               1235            1              
tout/RXT        4.0        D          125000          5000            0               1235            1              
rcv             4.0        A          1               0               125000          619             0              
snd             4.0        D          125000          5000            1               1236            0              
snd/dely        4.0        D          130000          5000            0               1828            1              
snd             4.0        D          130000          5000            1               1824            1              
snd             4.0        D          135000          5000            1               1828            2              
snd/dely        4.0        D          140000          5000            0               1828            3              
rcv             4.0        A          1               0               130000          1               2              
rcv             4.0        A          1               0               135000          3               1              
snd/dup         4.0        D          140000          5000            0               850             1              
snd             4.0        D          140000          5000            1               850             1              
tout/RXT        4.0        D          140000          5000            0               850             1              
rcv             4.0        A          1               0               140000          106             0              
snd             5.0        D          140000          5000            1               955             0              
snd/corr        5.0        D          145000          5000            0               931             1              
snd             5.0        D          145000          5000            1               931             1              
snd/corr        5.0        D          150000          5000            0               931             2              
snd             5.0        D          150000          5000            1               931             2              
snd             5.0        D          155000          5000            1               931             3              
drop            5.0        D          160000          5000            0               931             4              
snd/dely        5.0        D          145000          5000            0               827             4              
snd             5.0        D          145000          5000            1               1075            4              
tout/RXT        5.0        D          145000          5000            0               1075            4              
rcv/DA          5.0        A          1               0               155000          359             3              
snd/dup         5.0        D          145000          5000            0               1373            4              
snd             5.0        D          145000          5000            1               1373            4              
rcv             5.0        A          1               0               145000          2               3              
snd/rord        5.0        D          150000          5000            0               749             4              
rcv             5.0        A          1               0               145000          0               3              
snd/dely        5.0        D          155000          5000            0               748             4              
drop            5.0        D          150000          5000            0               848             4              
tout/RXT        5.0        D          150000          5000            0               848             4              
drop            5.0        D          150000          5000            0               948             4              
tout/RXT        5.0        D          150000          5000            0               948             4              
snd             5.0        D          155000          5000            1               984             4              
rcv             5.0        A          1               0               155000          238             3              
snd/dely        5.0        D          160000          5000            0               1162            4              
snd/corr        5.0        D          150000          5000            0               1062            4              
snd             5.0        D          150000          5000            1               1062            4              
tout/RXT        5.0        D          150000          5000            0               1062            4              
snd/dup         5.0        D          150000          5000            0               958             4              
snd             5.0        D          150000          5000            1               958             4              
tout/RXT        5.0        D          150000          5000            0               958             4              
rcv             5.0        A          1               0               150000          207             3              
rcv             5.0        A          1               0               150000          207             2              
snd             5.0        D          160000          5000            1               1003            2              
tout/RXT        5.0        D          160000          5000            0               1003            2              
rcv             5.0        A          1               0               160000          309             1              
